symbol,current_value
NDX01.BK,17.5
NER.BK,5.55
NER-R.BK,4.6
NEX.BK,8.75
NEX-R.BK,2.34
NOBLE.BK,3.56
NRF.BK,4.98
NRF-R.BK,5.7
NSL.BK,26.5
NTV.BK,35.5
NUSA-R.BK,0.6
NYT.BK,4.16
NYT-R.BK,3.84
ONEE.BK,4.04
ONEE-R.BK,4.96
OR.BK,18.2
OR-R.BK,21.06
ORI.BK,6.45
ORI-R.BK,10.44
OSP.BK,20.8
OSP-R.BK,28.16
PLANB.BK,8.1
PLANB-R.BK,8.21
PLAT.BK,2.48
PLAT-R.BK,3.08
PM.BK,8.3
PR9.BK,18.9
PR9-R.BK,18.9
PRM.BK,7.55
PRM-R.BK,6.58
PSH.BK,11.4
PSH-R.BK,12.91
PSL.BK,9.55
PSL-R.BK,9.24
PTG.BK,8.55
PTG-R.BK,10.29
PTL.BK,9.55
PTL-R.BK,14.6
PTT.BK,33.75
PTT-R.BK,34.53
PTTEP.BK,153.5
PTTEP-R.BK,154.71
PTTGC.BK,35.75
PTTGC-R.BK,38.94
QH.BK,2.12
QH-R.BK,2.25
RABBIT.BK,0.39
RAM.BK,30.75
RAM-R.BK,42.53
RATCH.BK,28.25
RATCH-R.BK,36.12
RBF.BK,10.4
RBF-R.BK,10.47
RCL.BK,23.4
RCL-R.BK,24.08
RJH.BK,24.4
RJH-R.BK,27.75
ROJNA.BK,7.35
ROJNA-R.BK,7.35
RS.BK,13.3
RS-R.BK,14.4
S.BK,0.8
S-R.BK,1.31
SABINA.BK,24.8
SABINA-R.BK,24.15
SABUY.BK,2.08
SABUY-R.BK,8.59
SAFE-R.BK,22.8
SAK.BK,5.25
SAMART.BK,6.55
SAMART-R.BK,5.99
SAPPE.BK,94.75
SAPPE-R.BK,92.02
SAT.BK,15.9
SAT-R.BK,18.81
SAV.BK,21.6
SAWAD.BK,38.25
SAWAD-R.BK,43.78
SC.BK,3.54
SC-R.BK,4.63
SCAP.BK,2.7
SCB.BK,108.0
SCB-R.BK,109.45
SCC.BK,248.0
SCC-R.BK,325.0
SCCC.BK,139.0
SCCC-R.BK,146.5
SCGD-R.BK,7.65
SCGP.BK,31.0
SCGP-R.BK,39.32
SCN.BK,1.06
SGC.BK,1.29
SGC-R.BK,1.29
SGP.BK,8.0
SGP-R.BK,8.37
SHR.BK,2.3
SINGER.BK,9.95
SINGER-R.BK,9.28
SIRI.BK,1.67
SIRI-R.BK,2.01
SIS.BK,25.25
SIS-R.BK,17.0
SISB.BK,40.5
SISB-R.BK,37.45
SJWD.BK,13.6
SJWD-R.BK,22.0
SKY.BK,26.0
SKY-R.BK,23.64
SMPC.BK,9.95
SNNP.BK,16.1
SNNP-R.BK,23.39
SPA.BK,8.0
SPA-R.BK,7.82
SPALI.BK,19.4
SPALI-R.BK,21.19
SPC.BK,62.0
SPCG.BK,11.2
SPCG-R.BK,12.44
SPI.BK,69.25
SPRC.BK,7.9
SPRC-R.BK,8.09
SSP.BK,7.25
SSP-R.BK,7.25
STA.BK,16.6
STA-R.BK,17.23
STANLY.BK,219.0
STANLY-R.BK,196.0
STAR5001.BK,24.6
STEC.BK,9.55
STEC-R.BK,9.62
STGT.BK,9.05
STGT-R.BK,7.46
STPI.BK,3.2
STPI-R.BK,3.2
SUPER.BK,0.31
SUPER-R.BK,0.52
SUPEREIF.BK,6.15
SUSCO.BK,3.9
SUSCO-R.BK,3.48
SYNEX.BK,11.8
SYNEX-R.BK,12.17
TASCO.BK,16.0
TASCO-R.BK,17.97
TCAP.BK,49.0
TCAP-R.BK,49.45
TDEX.BK,8.24
TEAMG-R.BK,4.18
TFG.BK,3.78
TFG-R.BK,4.07
THANI.BK,2.38
THANI-R.BK,2.94
THCOM.BK,12.7
THCOM-R.BK,12.38
THG.BK,39.25
THG-R.BK,65.25
TIDLOR.BK,21.5
TIDLOR-R.BK,22.51
TIPH.BK,29.5
TIPH-R.BK,42.49
TISCO.BK,97.25
