symbol,calculation
PSL,-955000.0000000001
PSL-R,1860012.0
PTG,279585.0
PTG-R,-614313.0
PTL,27695.000000000004
PTL-R,0.0
PTT,7560000.0
PTT-R,-32271738.0
PTTEP,12556300.0
PTTEP-R,61713819.0
PTTGC,1716000.0
PTTGC-R,16424891.999999998
QH,1378848.0
QH-R,982575.0
RABBIT,0.0
RAM,0.0
RAM-R,-8506.0
RATCH,1231700.0
RATCH-R,191436.0
RBF,-2063360.0
RBF-R,-928689.0
RCL,-6112080.0
RCL-R,8779568.0
RJH,61000.0
RJH-R,0.0
ROJNA,-693105.0
ROJNA-R,0.0
RS,0.0
RS-R,249120.0
S,177120.0
S-R,-393.0
SABINA,1649200.0
SABINA-R,637560.0
SABUY,0.0
SABUY-R,0.0
SAFE-R,45600.0
SAK,26775.0
SAMART,-208945.0
SAMART-R,-120998.0
SAPPE,-824325.0
SAPPE-R,1104240.0
SAT,-119250.0
SAT-R,4309371.0
SAV,108000.0
SAWAD,-12737250.0
SAWAD-R,-18348198.0
SC,-338070.0
SC-R,68524.0
SCAP,-9720.0
SCB,-8380800.0
SCB-R,-29354490.0
SCC,-4736800.0
SCC-R,40007500.0
SCCC,-97300.0
SCCC-R,-43950.0
SCGD-R,0.0
SCGP,-3174400.0
SCGP-R,74381644.0
SCN,-4664.0
SGC,6837.0
SGC-R,6579.0
SGP,0.0
SGP-R,330614.99999999994
SHR,-17020.0
SINGER,-13929.999999999998
SINGER-R,236639.99999999997
SIRI,696557.0
SIRI-R,851234.9999999999
SIS,-22725.0
SIS-R,433500.0
SISB,4050.0
SISB-R,-26215.000000000004
SJWD,-408000.0
SJWD-R,-19844.0
SKY,88400.0
SKY-R,3184308.0
SMPC,357205.0
SNNP,-40250.0
SNNP-R,-37424.0
SPA,-360800.0
SPA-R,1564.0
SPALI,-2238760.0
SPALI-R,701389.0
SPC,0.0
SPCG,0.0
SPCG-R,-292340.0
SPI,0.0
SPRC,-5433620.0
SPRC-R,-3050739.0
SSP,373375.0
SSP-R,0.0
STA,5869760.000000001
STA-R,15376052.0
STANLY,481800.0
