symbol,difference
SPCG-R,-23500
SPI,0
SPRC,-687800
SPRC-R,-377100
SSP,51500
SSP-R,0
STA,353600
STA-R,892400
STANLY,2200
STANLY-R,-300
STAR5001,52171
STEC,-363200
STEC-R,481400
STGT,132000
STGT-R,10000
STPI,5400
STPI-R,0
SUPER,0
SUPER-R,0
SUPEREIF,0
SUSCO,8400
SUSCO-R,-30400
SYNEX,3900
SYNEX-R,0
TASCO,-478100
TASCO-R,-57000
TCAP,-47400
TCAP-R,-2900
TDEX,0
TEAMG-R,0
TFG,0
TFG-R,46800
THANI,57800
THANI-R,-896400
THCOM,0
THCOM-R,121300
THG,10200
THG-R,1900
TIDLOR,-333218
TIDLOR-R,-628200
TIPH,23600
TIPH-R,-1900
TISCO,-30100
TISCO-R,-15800
TKC,6600
TKC-R,-11500
TKN,-156900
TKN-R,128900
TKS-R,0
TLI,193100
TLI-R,5500
TMT,0
TOA,0
TOA-R,-96000
TOG,24700
TOP,-249100
TOP-R,-44800
TPIPL,-11600
TPIPL-R,105500
TPIPP,-71100
TPIPP-R,42400
TQM,8100
TQM-R,-7900
TRP-R,0
TRUE,-294300
TRUE-R,-9759600
TSTH,0
TTA,0
TTA-R,-108900
TTB,1858100
TTB-R,1396400
TTCL,21600
TTCL-R,0
TTW,-61300
TTW-R,-31800
TU,-186300
TU-R,-2877900
TVO,1200
TVO-R,13600
UBE,-202000
UBOT,0
UHERO,0
UNIQ,0
UTP,2700
UTP-R,0
UVAN,-2300
VGI,-2681700
VGI-R,405400
VIBHA,-137800
VIBHA-R,0
VNG,900
WARRIX,-29100
WHA,73500
WHA-R,-357200
WHAUP,-26400
WHAUP-R,-44000
WORK,0
WP,12700
XO,0
XPG,-31200
XPG-R,275100
